연도,월,기준월,시도,전기차등록대수,충전량_kWh,충전횟수,충전시간_h,활성충전기수,EV당충전량,EV당충전횟수,활성기당충전량
2019,11,2019-11,충남,2792,201440.42,11213.0,2682.3,163.0,72.15,4.02,1235.83
2019,11,2019-11,충북,2382,189175.68,10564.0,2542.22,148.0,79.42,4.43,1278.21
2019,12,2019-12,강원,2445,152921.54,9529.0,2108.82,247.0,62.54,3.9,619.12
2019,12,2019-12,경기,11750,293410.96,17627.0,4236.04,240.0,24.97,1.5,1222.55
2019,12,2019-12,경남,3626,147728.31,8925.0,2201.28,171.0,40.74,2.46,863.91
2019,12,2019-12,경북,4051,356049.56,21130.0,4881.83,288.0,87.89,5.22,1236.28
2019,12,2019-12,광주,2464,47802.88,2724.0,538.52,42.0,19.4,1.11,1138.16
2019,12,2019-12,대구,11313,98566.21,5738.0,1216.82,76.0,8.71,0.51,1296.92
2019,12,2019-12,대전,2555,73077.69,4068.0,793.23,61.0,28.6,1.59,1197.99
2019,12,2019-12,부산,3216,42229.85,2527.0,548.88,38.0,13.13,0.79,1111.31
2019,12,2019-12,서울,14952,93950.22,5774.0,1168.0,79.0,6.28,0.39,1189.24
2019,12,2019-12,세종,903,17046.98,1029.0,213.11,20.0,18.88,1.14,852.35
2019,12,2019-12,울산,1447,67104.12,3802.0,833.59,83.0,46.37,2.63,808.48
2019,12,2019-12,인천,2598,71695.98,4078.0,804.65,58.0,27.6,1.57,1236.14
2019,12,2019-12,전남,3326,106067.36,6615.0,1463.51,168.0,31.89,1.99,631.35
2019,12,2019-12,전북,1841,140736.7,7933.0,1839.13,132.0,76.45,4.31,1066.19
2019,12,2019-12,제주,18178,153870.32,9807.0,2275.67,83.0,8.46,0.54,1853.86
2019,12,2019-12,충남,2841,203556.87,11696.0,2733.25,165.0,71.65,4.12,1233.68
2019,12,2019-12,충북,2412,193726.27,10931.0,2610.76,149.0,80.32,4.53,1300.18
2020,1,2020-01,강원,2448,150486.07,9269.0,2079.32,234.0,61.47,3.79,643.1
2020,1,2020-01,경기,11809,267356.68,16240.0,4002.7,238.0,22.64,1.38,1123.35
2020,1,2020-01,경남,3634,143576.87,8722.0,2133.34,174.0,39.51,2.4,825.15
2020,1,2020-01,경북,4071,346742.86,20568.0,4803.64,345.0,85.17,5.05,1005.05
2020,1,2020-01,광주,2479,42484.52,2486.0,495.6,46.0,17.14,1.0,923.58
2020,1,2020-01,대구,11274,112619.38,6483.0,1314.63,80.0,9.99,0.58,1407.74
2020,1,2020-01,대전,2618,68054.21,3821.0,745.38,66.0,25.99,1.46,1031.12
2020,1,2020-01,부산,3223,40030.42,2438.0,510.75,47.0,12.42,0.76,851.71
2020,1,2020-01,서울,15353,85502.23,5351.0,1095.93,111.0,5.57,0.35,770.29
2020,1,2020-01,세종,911,17517.15,1045.0,210.96,24.0,19.23,1.15,729.88
2020,1,2020-01,울산,1441,56265.48,3286.0,715.41,89.0,39.05,2.28,632.2
2020,1,2020-01,인천,2660,67363.11,3945.0,786.45,81.0,25.32,1.48,831.64
2020,1,2020-01,전남,3326,99064.11,6340.0,1393.17,212.0,29.78,1.91,467.28
2020,1,2020-01,전북,1872,132956.34,7552.0,1726.81,165.0,71.02,4.03,805.8
2020,1,2020-01,제주,18307,142058.87,9382.0,2145.32,116.0,7.76,0.51,1224.65
2020,1,2020-01,충남,2848,191219.7,11245.0,2651.42,191.0,67.14,3.95,1001.15
2020,1,2020-01,충북,2427,183905.16,10466.0,2460.18,174.0,75.77,4.31,1056.93
2020,2,2020-02,강원,2459,121679.43,7440.0,1711.78,225.0,49.48,3.03,540.8
2020,2,2020-02,경기,12510,226490.16,13371.0,3359.63,210.0,18.1,1.07,1078.52
2020,2,2020-02,경남,3822,107012.48,6702.0,1662.05,167.0,28.0,1.75,640.79
2020,2,2020-02,경북,4161,253678.14,15030.0,3602.15,277.0,60.97,3.61,915.81
2020,2,2020-02,광주,2489,31760.44,1917.0,389.06,39.0,12.76,0.77,814.37
2020,2,2020-02,대구,11275,88823.42,5186.0,1066.23,75.0,7.88,0.46,1184.31
2020,2,2020-02,대전,2625,51466.79,2881.0,605.69,50.0,19.61,1.1,1029.34
2020,2,2020-02,부산,3270,33338.77,1998.0,420.01,33.0,10.2,0.61,1010.27
2020,2,2020-02,서울,16438,73389.44,4579.0,935.04,75.0,4.46,0.28,978.53
2020,2,2020-02,세종,933,14542.53,901.0,185.24,22.0,15.59,0.97,661.02
2020,2,2020-02,울산,1464,45033.18,2628.0,595.57,82.0,30.76,1.8,549.19
2020,2,2020-02,인천,2791,58852.42,3434.0,705.88,58.0,21.09,1.23,1014.7
2020,2,2020-02,전남,3346,77030.19,4903.0,1165.58,165.0,23.02,1.47,466.85
2020,2,2020-02,전북,1920,100459.97,5745.0,1321.27,135.0,52.32,2.99,744.15
2020,2,2020-02,제주,18684,111087.49,7438.0,1736.33,84.0,5.95,0.4,1322.47
2020,2,2020-02,충남,2928,145257.93,8418.0,1973.8,160.0,49.61,2.88,907.86
2020,2,2020-02,충북,2457,144554.69,8192.0,1960.0,143.0,58.83,3.33,1010.87
2020,3,2020-03,강원,2640,113021.85,6601.0,1610.55,246.0,42.81,2.5,459.44
2020,3,2020-03,경기,14100,238753.37,13554.0,3412.41,222.0,16.93,0.96,1075.47
2020,3,2020-03,경남,4295,111956.58,6822.0,1759.64,201.0,26.07,1.59,557.0
2020,3,2020-03,경북,4441,222417.29,12822.0,3188.22,323.0,50.08,2.89,688.6
2020,3,2020-03,광주,2660,32093.51,1822.0,382.12,51.0,12.07,0.68,629.28
2020,3,2020-03,대구,11641,80763.96,4726.0,973.59,79.0,6.94,0.41,1022.33
2020,3,2020-03,대전,2865,50737.67,2773.0,625.89,75.0,17.71,0.97,676.5
