ref_year,ref_month,기준월,시도,전기차등록대수
2022,12,2022-12,충북,15140
2023,1,2023-01,강원,14065
2023,1,2023-01,경기,77673
2023,1,2023-01,경남,22749
2023,1,2023-01,경북,19150
2023,1,2023-01,광주,9118
2023,1,2023-01,대구,24100
2023,1,2023-01,대전,14450
2023,1,2023-01,부산,22114
2023,1,2023-01,서울,59624
2023,1,2023-01,세종,3081
2023,1,2023-01,울산,5071
2023,1,2023-01,인천,26342
2023,1,2023-01,전남,15449
2023,1,2023-01,전북,12740
2023,1,2023-01,제주,32904
2023,1,2023-01,충남,16617
2023,1,2023-01,충북,15156
2023,2,2023-02,강원,14427
2023,2,2023-02,경기,79880
2023,2,2023-02,경남,23739
2023,2,2023-02,경북,19808
2023,2,2023-02,광주,9542
2023,2,2023-02,대구,25019
2023,2,2023-02,대전,14600
2023,2,2023-02,부산,23481
2023,2,2023-02,서울,59584
2023,2,2023-02,세종,3153
2023,2,2023-02,울산,5682
2023,2,2023-02,인천,26479
2023,2,2023-02,전남,16505
2023,2,2023-02,전북,13022
2023,2,2023-02,제주,33573
2023,2,2023-02,충남,16990
2023,2,2023-02,충북,15727
2023,3,2023-03,강원,14823
2023,3,2023-03,경기,84533
2023,3,2023-03,경남,25495
2023,3,2023-03,경북,21278
2023,3,2023-03,광주,9761
2023,3,2023-03,대구,25535
2023,3,2023-03,대전,14972
2023,3,2023-03,부산,24676
2023,3,2023-03,서울,61123
2023,3,2023-03,세종,3343
2023,3,2023-03,울산,5864
2023,3,2023-03,인천,27840
2023,3,2023-03,전남,18041
2023,3,2023-03,전북,15070
2023,3,2023-03,제주,34432
2023,3,2023-03,충남,18832
